RN Area ID	RN Area Name	Population	RN_LIC	RN_EMPRATE	Employed RNs	Ratio	Target Ratio	RNSA	Severity	Effective Date
1	Crescent City/Bertsch-Oceanview Area	27424	219	0.811	178	649.1	943	Yes	Medium	6/25/2020
2	Yreka/Montague Area	23613	143	0.811	116	491.3	943	Yes	High	6/25/2020
3	Mount Shasta/Weed Area	19927	247	0.811	200	1003.7	943	No		6/25/2020
4	Burney/Alturas Area	18100	99	0.811	80	442	943	Yes	High	6/25/2020
5	Eureka/McKinleyville Area	136614	1438	0.811	1166	853.5	943	Yes	Low	6/25/2020
6	Redding/Red Bluff Area	246814	2826	0.811	2292	928.6	943	Yes	Low	6/25/2020
7	Susanville/Westwood Area	29683	193	0.811	157	528.9	943	Yes	High	6/25/2020
8	Chester/Hamilton Branch Area	3835	38	0.811	31	808.3	943	Yes	Low	6/25/2020
9	East Quincy/Quincy Area	9579	83	0.811	67	699.4	943	Yes	Medium	6/25/2020
10	Portola/Loyalton Area	8215	69	0.811	56	681.7	943	Yes	Medium	6/25/2020
11	Chico/Paradise Area	189136	2317	0.811	1879	993.5	943	No		6/25/2020
12	Ukiah/Willits Area	63268	536	0.811	435	687.6	943	Yes	Medium	6/25/2020
13	Fort Bragg/Caspar Area	19989	159	0.811	129	645.4	943	Yes	Medium	6/25/2020
14	Yuba City/Linda Area	229197	1691	0.865	1463	638.3	943	Yes	Medium	6/25/2020
15	Grass Valley/Alta Sierra Area	71998	765	0.811	620	861.1	943	Yes	Low	6/25/2020
16	Truckee/Kings Beach Area	26931	385	0.865	333	1236.5	943	No		6/25/2020
17	Colusa/Williams Area	13849	28	0.811	23	166.1	943	Yes	High	6/25/2020
18	Clearlake/Hidden Valley Lake Area	64148	438	0.811	355	553.4	943	Yes	High	6/25/2020
19	Davis/Woodland Area	164770	1109	0.865	959	582	943	Yes	Medium	6/25/2020
20	Diamond Springs/Placerville Area	66997	795	0.865	688	1026.9	943	No		6/25/2020
21	South Lake Tahoe/Mesa Vista Area	31295	311	0.865	269	859.6	943	Yes	Low	6/25/2020
22	Sacramento/Elk Grove Area	2044079	25525	0.865	22079	1080.1	943	No		6/25/2020
23	Santa Rosa/Napa Area	885057	10431	0.859	8960	1012.4	943	No		6/25/2020
24	Rancho Calaveras/Jackson Area	65129	536	0.868	465	714	943	Yes	Medium	6/25/2020
25	Fairfield/Vacaville Area	287516	4449	0.859	3822	1329.3	943	No		6/25/2020
26	Sonora/Copperopolis Area	74694	878	0.868	762	1020.2	943	No		6/25/2020
27	Antioch/Brentwood Area	235150	3045	0.859	2616	1112.5	943	No		6/25/2020
28	Stockton/Tracy Area	720080	6293	0.868	5462	758.5	943	Yes	Medium	6/25/2020
29	Mammoth Lakes/Chalfant Area	14174	134	0.868	116	818.4	943	Yes	Low	6/25/2020
30	Concord/Vallejo Area	1056413	14096	0.859	12108	1146.1	943	No		6/25/2020
31	Oakland/Hayward Area	1657648	15504	0.859	13318	803.4	943	Yes	Low	6/25/2020
32	Modesto/Turlock Area	596568	5349	0.868	4643	778.3	943	Yes	Low	6/25/2020
33	Midpines/Mariposa Area	14713	114	0.868	99	672.9	943	Yes	Medium	6/25/2020
34	San Jose/San Francisco Area	3499310	32024	0.859	27509	786.1	943	Yes	Low	6/25/2020
35	Merced/Atwater Area	164561	1032	0.868	896	544.5	943	Yes	High	6/25/2020
36	Santa Cruz/Live Oak Area	190786	2609	0.859	2241	1174.6	943	No		6/25/2020
37	Los Banos/Gustine Area	62069	183	0.868	159	256.2	943	Yes	High	6/25/2020
38	Fresno/Clovis Area	985299	10200	0.868	8854	898.6	943	Yes	Low	6/25/2020
39	Watsonville/Interlaken Area	98649	589	0.795	468	474.4	943	Yes	High	6/25/2020
40	Gilroy/Hollister Area	121863	1184	0.795	941	772.2	943	Yes	Low	6/25/2020
41	Reedley/Dinuba Area	100663	388	0.868	337	334.8	943	Yes	High	6/25/2020
42	Bishop/Dixon Lane-Meadow Creek Area	18085	190	0.868	165	912.4	943	Yes	Low	6/25/2020
43	Seaside/Monterey Area	135800	1526	0.795	1213	893.2	943	Yes	Low	6/25/2020
44	Visalia/Tulare Area	279890	2675	0.868	2322	829.6	943	Yes	Low	6/25/2020
45	Salinas/Prunedale Area	273575	1625	0.795	1292	472.3	943	Yes	High	6/25/2020
46	Hanford/Lemoore Area	242382	1380	0.868	1198	494.3	943	Yes	High	6/25/2020
47	Porterville/Lindsay Area	112559	651	0.868	565	502	943	Yes	High	6/25/2020
48	Delano/McFarland Area	92273	252	0.868	219	237.3	943	Yes	High	6/25/2020
49	Paso Robles/Atascadero Area	102308	1263	0.795	1004	981.4	943	No		6/25/2020
50	Lake Isabella/Weldon Area	14969	96	0.868	83	554.5	943	Yes	High	6/25/2020
51	Ridgecrest/China Lake Acres Area	37074	187	0.868	162	437	943	Yes	High	6/25/2020
52	Bakersfield/Oildale Area	717249	5630	0.868	4887	681.4	943	Yes	Medium	6/25/2020
53	Victorville/Hesperia Area	434460	2863	0.867	2482	571.3	943	Yes	Medium	6/25/2020
54	Santa Maria/San Luis Obispo Area	334532	2987	0.795	2375	709.9	943	Yes	Medium	6/25/2020
55	Palmdale/Lancaster Area	432757	3216	0.868	2791	644.9	943	Yes	Medium	6/25/2020
56	Lompoc/Vandenberg Village Area	82574	586	0.795	466	564.3	943	Yes	Medium	6/25/2020
57	Santa Barbara/Goleta Area	210368	1841	0.795	1464	695.9	943	Yes	Medium	6/25/2020
58	Needles/Big River Area	6737	25	0.867	22	326.6	943	Yes	High	6/25/2020
59	Santa Clarita/Glendale Area	2334766	25753	0.868	22354	957.4	943	No		6/25/2020
60	Oxnard/Thousand Oaks Area	874206	8983	0.868	7797	891.9	943	Yes	Low	6/25/2020
61	Twentynine Palms/Yucca Valley Area	99522	783	0.867	679	682.3	943	Yes	Medium	6/25/2020
62	Pomona/Pasadena Area	1836611	17187	0.868	14918	812.3	943	Yes	Low	6/25/2020
63	Los Angeles/East Los Angeles Area	2654094	13262	0.868	11511	433.7	943	Yes	High	6/25/2020
64	Downey/Norwalk Area	1200879	8099	0.868	7030	585.4	943	Yes	Medium	6/25/2020
65	Long Beach/Torrance Area	1576476	15077	0.868	13087	830.1	943	Yes	Low	6/25/2020
66	Riverside/Fontana Area	3500300	36607	0.867	31738	906.7	943	Yes	Low	6/25/2020
67	Blythe/Mesa Verde Area	22833	101	0.867	88	385.4	943	Yes	High	6/25/2020
68	Anaheim/Santa Ana Area	3253219	33132	0.868	28759	884	943	Yes	Low	6/25/2020
69	Oceanside/Escondido Area	959184	9410	0.869	8177	852.5	943	Yes	Low	6/25/2020
70	Indio/Cathedral City Area	456048	3383	0.867	2933	643.1	943	Yes	Medium	6/25/2020
71	El Centro/Calexico Area	169578	1067	0.869	927	546.7	943	Yes	High	6/25/2020
72	San Diego/Chula Vista Area	2343649	25717	0.869	22348	953.6	943	No		6/25/2020
